job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
"Associate, Software Engineering",KPMG,https://www.indeed.com/cmp/Kpmg-0828bc85,"Grand Rapids, MI+2 locations","Rapidly architect, design, prototype and implement architectures to tackle the Big Data needs for a variety of Fortune 1000 corporations and other major…",Posted30 days ago,
Application Development Analyst - AWS Cloud Developer,Spectrum Health,https://www.indeed.com/cmp/Spectrum-Health-1,"Grand Rapids, MI","You will also help create and externalize APIs to deliver data using modern, cloud-based patterns to internal and external consumers.",Posted29 days ago,
Web Designer / Front End Developer,"UFP Industries, Inc.","https://www.indeed.com/cmp/Ufp-Industries,-Inc.","Grand Rapids, MI 49525",The Web Designer will work with the Web Development team on all changes and projects relative to web design.,Posted30+ days ago,
Software Engineering Manager,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI",The Software Engineering Manager will be responsible for spearheading a team which will develop software solutions for the implementation of our innovative…,Posted29 days ago,
ServiceNow Developer Consultant - Location Open,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)","You will perform day-to-day support and maintenance, work with the functional team to develop solutions in ServiceNow and coordinate support and development…",Posted26 days ago,
Senior Software Engineer,ZoomInfo Technologies LLC,https://www.indeed.com/cmp/Zoominfo,"Grand Rapids, MI","If you like working on tough problems, whether that's building systems that handle millions of customer requests per day or how to make sense of over a billion…",Posted9 days ago,
Sr. Oracle Programmer Analyst,BISSELL Homecare,https://www.indeed.com/cmp/Bissell,"Grand Rapids, MI 49544",You will provide leadership and support in architecting both on premise and Cloud solutions.,Posted30+ days ago,
Advanced Lead Engineer - Embedded Software Development,GE Aviation,https://www.indeed.com/cmp/GE-Aviation,"Grand Rapids, MI 49512+1 location",This position is for a Lead Embedded Software Engineer for the New Products and Adjacencies line within the Mission Systems group.,Posted30+ days ago,
Flow | Staff Engineer (JavaScript Framework),Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s92u0s7ha801&jk=798f865023eb0ae2&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAbCglub3JtdGl0bGUaDnN0YWZmIGVuZ2luZWVy,"Remote in Kentwood, MI+2 locations","They are also the original developers behind Flow, a new decentralized blockchain designed from the ground up for scalability and ease of use.",Posted30+ days ago,
Golang Engineer,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s92u0s7ha801&jk=50bead8d3ec5cd7f&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAVCglub3JtdGl0bGUaCGVuZ2luZWVy,"Remote in Kentwood, MI+1 location",Responsible for the R & D and maintenance of the server of the platform;,Posted30+ days ago,
,Xplor,"https://www.indeed.com/q-Xplor-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI","Contributing clean infrastructure code to optimize system reliability, performance, and efficiency.",Posted6 days ago,Estimated $97.4K – $123K a year
